#lemma,wordnet_2.0,wordnet_3.0,POS,Cyc ID,Cyc name
elements,110782729,11525303,noun,Mx4rvVi2eZwpEbGdrcN5Y29ycA,WeatherEvent
rug,103962929,4118021,noun,Mx4rvVjBDpwpEbGdrcN5Y29ycA,Carpet
Chinese,109085826,9698108,noun,Mx4rvVi2CpwpEbGdrcN5Y29ycA,ChinesePerson
voyeur,110059054,10761326,noun,Mx4rwHbXBZwpEbGdrcN5Y29ycA,Voyeur
get_up,200018100,18405,verb,Mx4rvVjUkJwpEbGdrcN5Y29ycA,LiftingAnObject
lubricate,201442995,1484982,verb,Mx4rvVkHMpwpEbGdrcN5Y29ycA,LubricatingSomething
pineapple,107281192,7753275,noun,Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvViet5wpEbGdrcN5Y29ycA,"[:FruitFn, :PineapplePlant]"
charge_unit,112862228,13632961,noun,Mx4rvViKMZwpEbGdrcN5Y29ycA,UnitOfCharge
Leeds,108330336,8879028,noun,Mx4rvVjZkZwpEbGdrcN5Y29ycA,CityOfLeedsEngland
cut,200545615,561090,verb,Mx4rvVj3VpwpEbGdrcN5Y29ycA,Trimming
yaw,202007453,2066028,verb,Mx4rv5lqypwpEbGdrcN5Y29ycA,Yaw-WhileTranslating
carnation,111062365,11808468,noun,Mx4rvVjlOpwpEbGdrcN5Y29ycA,Carnation
law,106129345,6532330,noun,Mx4rvV1TLJwpEbGdrcN5Y29ycA,Law
green,104709593,4967191,noun,Mx4r-yLWNnS_EdaAAACgyZzFrg,GreenColor
chemistry,105721979,6084469,noun,Mx4rvVixcJwpEbGdrcN5Y29ycA,Chemistry
lawn_mower,103513699,3649909,noun,Mx4rwI174pwpEbGdrcN5Y29ycA,LawnMower
progressive,300548881,576189,adj,Mx4rwQh71JwpEbGdrcN5Y29ycA,Progressivism
trip,201164493,1200934,verb,Mx8Ngh4r4n-ycMPvEdmAAACQJw5drh4r1Yu8MnS9EdaAAACgyZzFrg,"[:BecomingFn, :Intoxicated]"
Liguria,108266324,8808292,noun,Mx4rv3pIPZwpEbGdrcN5Y29ycA,Liguria-RegionItaly
Wilkes,110649657,11387060,noun,Mx4rffhiYMY5EdmAAAACs6hRjg,CharlesWilkes-Explorer
Sudanese_pound,112923275,13695420,noun,Mx4rvVjV85wpEbGdrcN5Y29ycA,Pound-Sudan
herpes_zoster,113327674,14132829,noun,Mx4rvbWp0JwpEbGdrcN5Y29ycA,Shingles-Ailment
sweetening,107383917,7858595,noun,Mx4rvVj2e5wpEbGdrcN5Y29ycA,Sweetener
Tanzanian,109117839,9734185,noun,Mx4rvVia3ZwpEbGdrcN5Y29ycA,TanzanianPerson
Yellow_Sea,108883816,9481958,noun,Mx4rvVkFl5wpEbGdrcN5Y29ycA,YellowSea
cover,200047079,48633,verb,Mx4rYFFM47JXEdmAhAACs6hRjg,Covering-PuttingOnAClothingItem
store,202215096,2281093,verb,Mx4rvViaj5wpEbGdrcN5Y29ycA,StoringSomething
isopropyl_alcohol,113869469,14709907,noun,Mx4rvgEXqZwpEbGdrcN5Y29ycA,IsopropylAlcohol
head,109508757,10162991,noun,Mx4rwQr5eJwpEbGdrcN5Y29ycA,Leader
inform,200804489,831651,verb,Mx4rvVieApwpEbGdrcN5Y29ycA,Informing
charge,202253221,2320374,verb,Mx4rvViHW5wpEbGdrcN5Y29ycA,serviceCharge
Murray,108776828,9363420,noun,Mx4rvVj09pwpEbGdrcN5Y29ycA,MurrayRiver
hit,201359510,1400044,verb,Mx4rvViEI5wpEbGdrcN5Y29ycA,HittingAnObject
choose_up,202375172,2448642,verb,Mx4rICKiTLi4EdmAAAACs6hRjg,FoundingAnOrgranizationByChoosingUpSides
squint,200008501,8602,verb,Mx4ry8d78bHcEdmAhAACs6hRjg,Squinting
book,105997694,6394865,noun,Mx4rvVjmq5wpEbGdrcN5Y29ycA,Book-CW
external_carotid_artery,105032540,5339751,noun,Mx4rwVJkPZwpEbGdrcN5Y29ycA,ExternalCarotidArtery
style,105506406,5844105,noun,Mx4rdUzR9nSwEdaAAACgyZzFrg,ObjectTypeByStyle
make,200069858,72012,verb,Mx4rvVjMxpwpEbGdrcN5Y29ycA,Urinating
load,201447785,1489989,verb,Mx4rwQCNIJwpEbGdrcN5Y29ycA,Loading
bleaching_agent,113936474,14779205,noun,Mx4rvneR7JwpEbGdrcN5Y29ycA,Bleach
long_jump,107013361,7469609,noun,Mx4rvVjcv5wpEbGdrcN5Y29ycA,LongJumpSportsEvent
geographic_point,108054258,8578706,noun,Mx4rvdMkZ5wpEbGdrcN5Y29ycA,GeographicalPlace-0D
Moldova,108455781,9014586,noun,Mx4rvgGi05wpEbGdrcN5Y29ycA,Moldova
guppy,101372397,1448594,noun,Mx4rvVi7bZwpEbGdrcN5Y29ycA,Guppy
Frankfurt_on_the_Main,108234151,8772922,noun,Mx4rvdn2TZwpEbGdrcN5Y29ycA,CityOfFrankfurtGermany
Honduran,109098591,9712570,noun,Mx4rvVi3UZwpEbGdrcN5Y29ycA,HonduranPerson
cerebral,302583222,2688974,adj,Mx4rvcRzZpwpEbGdrcN5Y29ycA,Cerebrum
assembly,107669744,8163792,noun,Mx4rQrM4nMsbEdmAAAACs6hRjg,Assembly-SocialGroup
tossed_salad,107333732,7806633,noun,Mx4rwQCXt5wpEbGdrcN5Y29ycA,GreenSalad
Hercules,108721466,9302263,noun,Mx4rv1WgmJwpEbGdrcN5Y29ycA,Hercules-Constellation
femur,105255106,5573895,noun,Mx4rvVjOJJwpEbGdrcN5Y29ycA,Femur
Border_collie,102023114,2106166,noun,Mx4rv4WfipwpEbGdrcN5Y29ycA,BorderCollie
waterfall,108877814,9475292,noun,Mx4rvVj0_pwpEbGdrcN5Y29ycA,Waterfall
Kuwait,108376843,8929555,noun,Mx4rvVjRn5wpEbGdrcN5Y29ycA,CityOfKuwaitKuwait
trireme,104312490,4485750,noun,Mx4rvVjwL5wpEbGdrcN5Y29ycA,AthenianTrireme
regulate,202436624,2511551,verb,Mx4rf32cEbctEdmFRAACs6hRjg,Regulating-SelectingSomething
prevail,202569892,2648502,verb,Mx4rvYjIS5wpEbGdrcN5Y29ycA,Situation
sapphire,114167132,15019483,noun,Mx4rv3B35JwpEbGdrcN5Y29ycA,Sapphire-Gem
cheetah,102046147,2130308,noun,Mx4rvVjEUpwpEbGdrcN5Y29ycA,Cheetah
share,202229455,2295550,verb,Mx4rvVkJr5wpEbGdrcN5Y29ycA,Sharing
political_system,107858285,8367880,noun,Mx4rQBu64G2gEdaAAACgyZzFrg,GeopoliticalEntityBySystemOfGovernment
force,110719108,11458624,noun,Mx4rvVkA6pwpEbGdrcN5Y29ycA,ForceAffectingAnObjectsMovement
penal_code,106257680,6668019,noun,Mx4rGV3NDLvXEdmAAAACs6hRjg,PenalCode
Washington,108507308,9070793,noun,Mx4rvVkLPJwpEbGdrcN5Y29ycA,CityOfWashingtonDC
alkalinize,200129687,134737,verb,Mx4rw4XQw7KNEdmAhAACs6hRjg,AlkalinizingSomething
handle,103357984,3485997,noun,Mx4rvVjPUJwpEbGdrcN5Y29ycA,Handle
mend,200261645,270561,verb,Mx4rwP1QypwpEbGdrcN5Y29ycA,Healing
teasel,111933539,12682411,noun,Mx4rvVizXJwpEbGdrcN5Y29ycA,Teasel
border,201425369,1466978,verb,Mx4rdMU287aeEdmFRQACs6hRjg,BorderingSomething
excerpt,106003455,6400510,noun,Mx4rijPGvs3rEdmAAAACs6hRjg,Excerpt-PCW
windmill,104409784,4587559,noun,Mx4rvVji-pwpEbGdrcN5Y29ycA,Windmill
sorting_algorithm,105509274,5847658,noun,Mx4rvVjmXJwpEbGdrcN5Y29ycA,SortingAlgorithm
stale,200070743,72897,verb,Mx4rj_Zm1bJ4EdmAhAACs6hRjg,Staling-Urinating
Eustachian_tube,105018278,5325153,noun,Mx4rvw5gc5wpEbGdrcN5Y29ycA,EustachianTube
designate,200996861,1030132,verb,Mx4rE0lTRM4SEdmAAACQJw5drg,NamingSomething
Djibouti,108225435,8762823,noun,Mx4rvViJ6ZwpEbGdrcN5Y29ycA,CityOfDjiboutiDjibouti
Rockies,108825022,9416570,noun,Mx4rvVjnepwpEbGdrcN5Y29ycA,RockyMountains
percussion_instrument,103767801,3915437,noun,Mx4rvViS45wpEbGdrcN5Y29ycA,PercussionInstrument
continent,108677230,9254614,noun,Mx4rvVkLu5wpEbGdrcN5Y29ycA,Continent
scarf,103987544,4143897,noun,Mx4rvVjL2ZwpEbGdrcN5Y29ycA,Scarf
Hungarian,109099659,9713985,noun,Mx4rvVjTqJwpEbGdrcN5Y29ycA,HungarianPerson
jukebox,103471059,3604156,noun,Mx4rv1cKpJwpEbGdrcN5Y29ycA,Jukebox
blind,102750509,2851099,noun,Mx4rvVig7ZwpEbGdrcN5Y29ycA,BlindForWindow
letter_opener,103521865,3658185,noun,Mx4rveJzzpwpEbGdrcN5Y29ycA,LetterOpener
tranquilizer,104297056,4470232,noun,Mx4rwP1Yh5wpEbGdrcN5Y29ycA,Tranquilizer
heel,105258932,5578095,noun,Mx4rvVjBmpwpEbGdrcN5Y29ycA,Heel
plan,103804112,3954199,noun,Mx4rv7-EzJwpEbGdrcN5Y29ycA,ArchitecturalPlan
think,200611681,631737,verb,Mx4rv8599ZwpEbGdrcN5Y29ycA,thinksProbable
goldfinch,101453456,1531178,noun,Mx4rvVk-oZwpEbGdrcN5Y29ycA,Goldfinch
vanilla_orchid,111339822,12086778,noun,Mx4rvVifOZwpEbGdrcN5Y29ycA,VanillaOrchid
King,110382461,11105054,noun,Mx4rwP1ReZwpEbGdrcN5Y29ycA,MartinLutherKingJr
Chuvash,109119146,9735654,noun,Mx4rwLzu7ZwpEbGdrcN5Y29ycA,EthnicGroupOfChuvash
spark_plug,104105909,4269270,noun,Mx4rvViygJwpEbGdrcN5Y29ycA,SparkPlug
Hinduism,105857042,6236802,noun,Mx4rvVjM05wpEbGdrcN5Y29ycA,Hinduism
Monrovia,108403908,8959495,noun,Mx4rvVjkU5wpEbGdrcN5Y29ycA,CityOfMonroviaLiberia
home_brew,107410419,7886057,noun,Mx4rv_bweZwpEbGdrcN5Y29ycA,HomeBrewing
capillary,105115168,5425910,noun,Mx4rvWEU-5wpEbGdrcN5Y29ycA,Capillary
